commune,department,province,latitude,longitude
Logone-Birni,Logone-et-Chari,Extrême-Nord,11.783333,15.1
Lokoundje,Océan,Sud,3.25,10.05
Lolodorf,Océan,Sud,3.233333,10.733333
Lomié,Haut-Nyong,Est,3.166667,13.616667
Loum,Mungo,Littoral,4.718,9.73
Ma'an,Vallée du Ntem,Sud,2.371404,10.632503
Mabanga,Vina,Adamaoua,,
Maga,Mayo-Danay,Extrême-Nord,10.84,14.94
Magba,Noun,Ouest,5.95,11.216667
Maikari,Logone-et-Chari,Extrême-Nord,12.562354,14.448904
Makak,Nyong-et-Kéllé,Centre,3.55,11.033333
Makénéné,Mbam-et-Inoubou,Centre,4.8844,10.7946
Malentouen,Noun,Ouest,5.71304,11.11817
Mamfé,Manyu,Sud-Ouest,5.766667,9.283333
Mandingring,Mayo-Rey,Nord,8.4559,15.0071
Mandjou,Lom-et-Djérem,Est,4.6,13.733333
Manjo,Mungo,Littoral,4.85,9.816667
Manoka,Wouri,Littoral,3.855278,9.614722
Maroua,Diamaré,Extrême-Nord,10.5971,14.3157
Martap,x,x,6.8902,13.0514
Massangam,Noun,Ouest,5.416667,10.966667
Massock,Sanaga-maritime,Littoral,4.13,10.47
Matomb,Nyong-et-Kéllé,Centre,3.816667,11.066667
Mayo-Baléo,Faro-et-Déo,Adamaoua,7.65,12.333333
Mayo-Darlé,Mayo-Banyo,Adamaoua,6.466667,11.55
Mayo-Hourna,Bénoué,Nord,9.3453,12.9752
Mayo-Oulo,Mayo-Louti,Nord,9.966667,13.616667
Mbalam,,Est,2.2232291,13.8129902
Mbalmayo,Nyong et So'o,Centre,3.516667,11.5
Mbandjock,Haute- Sanaga,Centre,4.45,11.9
Mbang,Kadey,Est,3.9694,14.2666
Mbanga,Mungo,Littoral,4.509167,9.568056
Mbangassina,Mbam-et-Kim,Centre,4.56323,11.37974
Mbankomo,Méfou-et-Akono,Centre,3.783333,11.383333
Mbe,Vina,Adamaoua,7.8598,13.5936
Mbengwi,Momo,Nord-Ouest,6.016667,10
Mbiame,Bui,Nord-Ouest,6.166667,10.783333
Mboma,Haut-Nyong,Est,4.21149,12.91486
Mbonge,Meme,Sud-Ouest,4.533333,9.1
Mbouda,Bamboutos,Ouest,5.633333,10.25
Meiganga,Mbéré,Adamaoua,6.53,14.37
Melong,Mungo,Littoral,5.121111,9.952778
Mengang,Nyong-et-Mfoumou,Centre,3.8833,12.05
Mengong,Mvila,Sud,2.933,11.417
Mengueme,Nyong-et-So'o,Centre,3.25,11.4
Menji,Lebialem,Sud-Ouest,5.47933,9.85019
Meri,Diamaré,Extrême-Nord,10.77,14.12
Messamena,Haut-Nyong,Est,3.733333,12.833333
Messok,Haut-Nyong,Est,3.0853,14.0624
Messondo,Nyong-et-Kéllé,Centre,3.6975,10.4528
Meyomessala,Dja-et-Lobo,Sud,3.105,12.2464
Meyomessi,Dja-et-Lobo,Sud,2.8167,12.2
Mfou,Méfou-et-Afamba,Centre,3.71738,11.64407
Mindif,Mayo-kani,Extrême-Nord,10.4,14.433333
Mindourou,Haut-Nyong,Est,3.56531,13.40462
Minta,Haute- Sanaga,Centre,4.583333,12.8
Mintom,Dja et Lobo,Sud,2.7,13.2833
Misaje,Donga Mantung,Nord-Ouest,6.583333,10.55
Modzogo,Mayo-Tsanaga,Extrême-Nord,10.97203,13.90544
Mogode,Mayo-Tsanaga,Extrême-Nord,10.6,13.566667
Mokolo,Mayo-Tsanaga,Extrême-Nord,10.74,13.8
Moloundou,Boumba-et-Ngoko,Est,2.05,15.166667
Mombo,Mungo,Littoral,4.5667,9.6
Monatélé,Lékié,Centre,4.266667,11.2
Mora,Mayo-sava,Extrême-Nord,11.05,14.15
Mouanko,Sanaga-maritime,Littoral,3.633333,9.783333
Moulvoudaye,Mayo-kani,Extrême-Nord,10.4059,14.8539
Moutourwa,Mayo-kani,Extrême-Nord,10.199,14.1778
Mudemba,Ndian,Sud-Ouest,4.966667,8.9
Muyuka,Fako,Sud-Ouest,4.2858,9.40689
Mvangane,Mvila,Sud,2.633333,11.733333
Mvengue,Océan,Sud,3.2833,11.0167
Nanga-Eboko,Haute- Sanaga,Centre,4.683333,12.366667
Ndelele,Kadey,Est,4.033333,14.933333
Ndikiniméki,Mbam-et-Inoubou,Centre,4.766667,10.833333
Ndobian,Nkam,Littoral,4.9903,10.3734
Ndom,Sanaga-maritime,Littoral,4.42,10.82
Ndop,Ngo-Ketunjia,Nord-Ouest,6,10.416667
Ndoukoula,Diamaré,Extrême-Nord,10.266667,14.033333
Ndu,Donga Mantung,Nord-Ouest,6.416667,10.8
"Ngambè, Sanaga Maritime, Cameroun",Sanaga-maritime,Littoral,4.23,10.62
Ngambè-Tikar,Mbam-et-Kim,Centre,5.789,11.4936
Nganha,Vina,Adamaoua,7.435856,13.926736
Ngaoui,Mbéré,Adamaoua,6.75564,14.94829
Ngaoundal,Djerem,Adamaoua,6.5,13.266667
Ngaoundéré,Vina,Adamaoua,7.316667,13.583333
Ngog-Mapubi,Nyong-et-Kéllé,Centre,3.9333,10.85
Ngomedzap,Nyong-et-So'o,Centre,3.25,11.2
Ngong,Bénoué,Nord,9.0246,13.5089
Ngoro,Mbam-et-Kim,Centre,4.95,11.3833
Ngoulemakong,Mvila,Sud,3.083333,11.433333
Ngoumou,Méfou-et-Akono,Centre,3.5939,11.30548
Ngoura,Lom-et-Djérem,Est,4.8781,14.2434
Ngoyla,Haut-Nyong,Est,2.616667,14.016667
Nguelebok,Kadey,Est,4.266667,14.05
Nguelemendouka,Haut-Nyong,Est,4.383333,12.916667
Ngui-Bassal,Nyong-et-Kéllé,Centre,4.06521,11.05551
Nguti,x,x,5.331118,9.422772
Ngwei,Sanaga-Maritime,Littoral,3.83628,10.44498
Niete,Océan,Sud,2.666667,10.05
Nitoukou,Mbam-et-Inoubou,Centre,4.633333,10.883333
Njikwa,Momo,Nord-Ouest,6.083333,9.883333
Njimom,Noun,Ouest,5.85,10.95
Njinikom,Boyo,Nord-Ouest,6.22822,10.31629
Njombé,Moungo,Littoral,,
Nkambé,Donga Mantung,Nord-Ouest,6.57815,10.70704
Nkolafamba,Méfou-et-Afamba,Centre,3.8589,11.6649
Nkolmetet,Nyong-et-So'o,Centre,3.433333,11.766667
Nkondjock,Nkam,Littoral,4.9120887,10.2610448
Nkongsamba II,Mungo,Littoral,4.95,9.933333
Nkongsamba I,Mungo,Littoral,4.9448,9.93398
Nkongsamba III,Mungo,Littoral,4.9459,9.93127
Nkong-Zem,Menoua,Ouest,,
Nkor,Bui,Nord-Ouest,6.3966,10.5831
Nkoteng,Haute- Sanaga,Centre,4.516667,12.033333
Nkum,Bui,Nord-Ouest,,
Nsem,Haute- Sanaga,Centre,4.883333,12.933333
Ntui,Mbam-et-Kim,Centre,4.45,11.633333
Nwa,Donga Mantung,Nord-Ouest,6.4726,11.0616
Nyambaka,Vina,Adamaoua,6.883333,14.1
Nyanon,Sanaga-maritime,Littoral,4.26505,10.95396
Obala,Lékié,Centre,4.166667,11.533333
Okola,Lékié,Centre,4.0167,11.3667
Olamze,Vallée du Ntem,Sud,2.216667,11.083333
Olanguina,Méfou-et-Afamba,Centre,3.96573,12.01835
Ombessa,Mbam-et-Inoubou,Centre,4.6,11.25
Ouli,Kadey,Est,5.2,14.55
Oveng,Dja et Lobo,Sud,2.42021,12.26023
Penja,Mungo,Littoral,4.633333,9.683333
Penka-Michel,Menoua,Ouest,5.466667,10.25
Petté,Diamaré,Extrême-Nord,10.966667,14.5
Pitoa,Bénoué,Nord,9.383333,13.533333
Poli,Faro,Nord,8.4738612,13.2420288
Pouma,Sanaga-maritime,Littoral,3.85,10.516667
Rey-Bouba,x,x,8.6726,14.1801
Roua,Mayo-Tsanaga,Extrême-Nord,10.778469,13.990304
Sa'a,Lékié,Centre,4.365,11.44
Salapoumbé,Boumba-et-Ngoko,Est,2.6163,15.3775
Sangmélima,Dja et Lobo,Sud,2.933333,11.983333
Santa,Mezam,Nord-Ouest,5.833333,10.15
Santchou,Menoua,Ouest,5.283333,9.983333
Soa,Méfou-et-Afamba,Centre,3.983333,11.6
Somalomo,Haut-Nyong,Est,3.383333,12.733333
Tchati-Bali,Mayo-Danay,Extrême-Nord,,
Tcholliré,Mayo-Rey,Nord,8.4,14.166667
Tibati,Djerem,Adamaoua,6.466667,12.633333
Tignère,Faro-et-Déo,Adamaoua,7.366667,12.65
Tiko,Fako,Sud-Ouest,4.075,9.36
Tinto,Manyu,Sud-Ouest,5.55,9.59
Toko,Ndian,Sud-Ouest,5.03967,9.13653
Tokombéré,Mayo-sava,Extrême-Nord,10.866667,14.15
Tombel,Koupé et Manengouba,Sud-Ouest,4.746389,9.670278
Tonga,Ndé,Ouest,4.9699,10.6957
Touboro,Mayo-Rey,Nord,7.770833,15.356667
Touloum,Mayo-kani,Extrême-Nord,10.183333,14.833333
Touroua,Bénoué,Nord,9.083333,12.966667
Tubah,Mezam,Nord-Ouest,6.0074471,10.2579022
Wabane,Lebialem,Sud-Ouest,5.68321,9.98433
Wasa,Logone-et-Chari,Extrême-Nord,11.39879,14.57067
Widikum-Boffe,Momo,Nord-Ouest,5.87,9.77
Wina,Mayo-Danay,Extrême-Nord,,
Wum,Menchum,Nord-Ouest,6.383333,10.066667
Yabassi,Nkam,Littoral,4.458333,9.970833
Yagoua,Mayo-Danay,Extrême-Nord,10.342778,15.240556
Yaoundé,Mfoundi,Centre,3.866667,11.516667
Yingui,Nkam,Littoral,4.533333,10.3
Yokadouma,Boumba-et-Ngoko,Est,3.516667,15.05
Yoko,Mbam-et-Kim,Centre,5.53,12.32
Zhoa,Menchum,Nord-Ouest,6.5315,10.1686
Zina,Logone-et-Chari,Extrême-Nord,11.26,14.97
Zoétélé,Dja-et-Lobo,Sud,3.25,11.8833
